Tên,Giá,RAM,SSD
HP 15 fc0085AU R5 7430U (A6VV8PA),13.190.000₫,N/A,N/A
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),12.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N5I5530W1),17.490.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),15.690.000₫,N/A,N/A
MacBook Air 13 inch M4 16GB/256GB,25.090.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 71P 517D i5 12450H (NX.J7KSV.001),14.490.000₫,N/A,N/A
Asus Vivobook 15 X1504VA i3 1315U (NJ1634W),11.290.000₫,N/A,N/A
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),13.190.000₫,N/A,N/A
HP 240 G10 i5 1334U (B93GZAT),16.190.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (25P2312),15.990.000₫,N/A,N/A
Acer Nitro V 15 ANV15 41 R1JY R5 6600H (NH.QPFSV.001),19.490.000₫,N/A,N/A
MSI Gaming Thin 15 B13UCX i5 13420H (2080VN),16.690.000₫,N/A,N/A
MacBook Air 13 inch M2 16GB/256GB,19.890.000₫,N/A,N/A
HP 15 fd0303TU i3 1315U (A2NL4PA),11.490.000₫,N/A,N/A
HP 245 G10 R5 7530U (B8PF9AT),12.390.000₫,N/A,N/A
Asus Vivobook 15 X1504VA Core 5 120U (BQ185WS),15.990.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (P16WD22),17.490.000₫,N/A,N/A
Acer Aspire Lite AL14 52M 54CJ i5 1334U (NX.J39SV.002),14.690.000₫,N/A,N/A
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0079VN),20.490.000₫,N/A,N/A
MSI Modern 15 F13MG i5 1335U (082VN),13.690.000₫,N/A,N/A
Lenovo Ideapad Slim 3 16IRH10 i5 13420H (83K20003VN),16.690.000₫,N/A,N/A
HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA),21.490.000₫,N/A,N/A
Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),10.290.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13420H (MA515WS),17.490.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (71064798),15.990.000₫,N/A,N/A
MacBook Air 15 inch M4 16GB/256GB,30.190.000₫,N/A,N/A
MSI Modern 15 B12MO i5 1235U (625VN),11.490.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (71070372),17.490.000₫,N/A,N/A
Asus Vivobook 14 X1404VA Core 5 120U (EB155WS),15.890.000₫,N/A,N/A
HP 15 fd0015TU i7 1355U (A19C5PA),19.590.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 15IRH10 i7 13620H (83K1000FVN),19.690.000₫,N/A,N/A
Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),17.490.000₫,N/A,N/A
MSI Gaming Thin 15 B12UC i5 12450H (2045VN),17.190.000₫,N/A,N/A
HP 240 G10 i3 1315U (B73TJAT),11.490.000₫,N/A,N/A
Asus Gaming Vivobook 16X K3605VC i5 13420H (RP364W),18.690.000₫,N/A,N/A
Dell Latitude 3450 i5 1335U (L3450-1335U-16512WN),18.590.000₫,N/A,N/A
Asus Vivobook 15 X1502VA i7 13620H (BQ986WS),17.990.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 41P R3QL R7 5700U (NX.J54SV.001),12.390.000₫,N/A,N/A
HP VICTUS 15 fa2731TX i5 13420H (B85LNPA),20.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 OLED 14IRH10 i5 13420H (83K0000CVN),19.190.000₫,N/A,N/A
MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN),24.290.000₫,N/A,N/A
HP 15 fd0234TU Core 5 120U (9Q969PA-120U),16.390.000₫,N/A,N/A
Asus TUF Gaming F16 FX607VJ Core 5 210H (RL034W),22.190.000₫,N/A,N/A
Lenovo LOQ 15IRX9 i5 13450HX (83DV003CVN),23.690.000₫,N/A,N/A
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),16.890.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N5I7216W1),20.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (N5I5057W1),15.990.000₫,N/A,N/A
Dell Gaming Alienware 16 Aurora AC16250 Core 5 210H (71072939),28.990.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 42P R08M R7 7730U (NX.D3QSV.001),14.290.000₫,N/A,N/A
MSI Gaming Katana 15 B13VFK i7 13620H (676VN),28.690.000₫,N/A,N/A
HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA),16.490.000₫,N/A,N/A
Dell Inspiron 15 3530 i3 1305U (N3530-i3U085W11SLU),11.990.000₫,N/A,N/A
HP 15 fd0235TU i5 1334U (9Q970PA),15.490.000₫,N/A,N/A
HP 15 fd0235TU Core 5 120U (9Q970PA_120U),16.390.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (P16WD),21.990.000₫,N/A,N/A
MacBook Pro 14 inch M4 16GB/512GB,37.790.000₫,N/A,N/A
Asus TUF Gaming A15 FA506NFR R7 7435HS (HN113W),17.390.000₫,N/A,N/A
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN),18.490.000₫,N/A,N/A
Asus TUF Gaming A15 FA507NUR R7 7435HS (LP057W),24.690.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 42P R8E6 R5 7430U (NX.D34SV.001),12.290.000₫,N/A,N/A
Asus Gaming Vivobook K3605ZC i5 12500H (RP629W),18.390.000₫,N/A,N/A
MSI Gaming Thin 15 B13UC i5 13420H (3247VN_16GB),19.490.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU-BL),17.490.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU-HS24),17.490.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 72P 581V i5 13500H (NX.D4CSV.001),13.490.000₫,N/A,N/A
HP 15 fd0234TU i5 1334U (9Q969PA),15.490.000₫,N/A,N/A
Asus Vivobook 16 X1605VA i5 13420H (MB1876WS),15.190.000₫,N/A,N/A
Lenovo LOQ 15ARP9 R7 7435HS (83JC00J0VN),27.690.000₫,N/A,N/A
HP 245 G10 R5 7530U (A20TDPT),12.390.000₫,N/A,N/A
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN),22.690.000₫,N/A,N/A
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),20.290.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N5I7421W1),20.990.000₫,N/A,N/A
HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA),16.990.000₫,N/A,N/A
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),17.390.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11SLU),21.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14AKP10 R5 AI 340 (83HX0065VN),23.990.000₫,N/A,N/A
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN330W),19.690.000₫,N/A,N/A
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),20.590.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13500H (MA467W),16.690.000₫,N/A,N/A
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),22.190.000₫,N/A,N/A
MSI Thin 15 B13UC i7 13620H (1411VN_16GB),20.290.000₫,N/A,N/A
MacBook Pro 14 inch M4 16GB/1TB,44.090.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 52 72BM i7 13620H (NH.QZ9SV.004),30.690.000₫,N/A,N/A
HP 15 fr0036TU i5 13420H (BZ7U2PA),16.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (P16WD21),17.490.000₫,N/A,N/A
Acer Aspire 5 A515 58GM 598J i5 13420H (NX.KW1SV.002),15.990.000₫,N/A,N/A
Lenovo V14 G4 AMN R5 7520U (82YT00YNVN),12.490.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i7 13620H (MA570WS),19.990.000₫,N/A,N/A
Asus Vivobook S16 S3607VA i5 13420H (RP055WS),17.990.000₫,N/A,N/A
Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),23.790.000₫,N/A,N/A
Dell Inspiron 15 3520 i5 1235U (N3520-i5U165W11SLU-BL),15.990.000₫,N/A,N/A
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),23.790.000₫,N/A,N/A
Lenovo LOQ 15ARP9 R5 7235HS (83JC00KUVN),24.190.000₫,N/A,N/A
MSI Katana 15 B13VEK i7 13620H (2256VN),25.190.000₫,N/A,N/A
Acer Aspire Lite 16 AI AL16 71P 5674 Ultra 5 125H (NX.D4XSV.001),16.590.000₫,N/A,N/A
MSI Thin 15 B13UC i7 13620H (1411VN),22.090.000₫,N/A,N/A
GIGABYTE G5 MF5 RC555 i5 13500H (9RC55MF5FEIAA1VN0C0),20.790.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (71053721),20.990.000₫,N/A,N/A
Dell Inspiron 15 3520 i7 1255U (71053682),18.990.000₫,N/A,N/A
Acer Aspire Lite 14 AL14 51P 35QD i3 1305U (NX.J84SV.001),10.790.000₫,N/A,N/A
HP 240 G9 i3 1215U (AG2J5AT),10.390.000₫,N/A,N/A
Asus Vivobook X1404ZA i5 1235U (NK376W),13.690.000₫,N/A,N/A
HP Pavilion 16 af0053TU Ultra 7 155U (AY8C2PA),21.490.000₫,N/A,N/A
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),12.690.000₫,N/A,N/A
Lenovo LOQ 15IRX9 i5 13450HX (83DV00PSVN),24.690.000₫,N/A,N/A
Asus TUF Gaming A15 FA507NVR R7 7435HS (LP007W),26.190.000₫,N/A,N/A
MacBook Pro 14 inch M4 Pro 24GB/512GB,47.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14AKP10 R7 AI 350 (83HX0066VN),26.490.000₫,N/A,N/A
MSI Gaming Cyborg 15 A13VEK i7 13620H (1423VN),25.190.000₫,N/A,N/A
